代號,名稱,市場,成交量,2026-03-02 收盤,2026-03-11 收盤,漲幅 %
2442,新美齊,上市,2962330,19.45,19.7,1.29
2468,華經,上市,1160938,35.3,35.75,1.27
4560,強信-KY,上市,257030,33.0,33.4,1.21
3010,華立,上市,1116968,124.0,125.5,1.21
2545,皇翔,上市,399044,37.4,37.85,1.2
2762,世界健身-KY,上市,151415,78.5,79.4,1.15
6213,聯茂,上市,17199447,132.0,133.5,1.14
3164,景岳,上市,107622,17.9,18.1,1.12
1456,怡華,上市,103050,13.5,13.65,1.11
2852,第一保,上市,1307236,27.4,27.7,1.09
1447,力鵬,上市,670291,5.5,5.56,1.09
2903,遠百,上市,3263331,22.85,23.1,1.09
9908,大台北,上市,5995283,30.15,30.45,1.0
2534,宏盛,上市,679141,20.1,20.3,1.0
7795,長廣,上市,856570,403.0,407.0,0.99
5871,中租-KY,上市,4280742,102.5,103.5,0.98
1533,車王電,上市,102511,30.6,30.9,0.98
1735,日勝化,上市,1714780,20.7,20.9,0.97
3042,晶技,上市,3154125,93.0,93.9,0.97
3563,牧德,上市,1657006,627.0,633.0,0.96
6722,輝創,上市,229905,41.55,41.95,0.96
6669,緯穎,上市,1462957,4150.0,4190.0,0.96
3583,辛耘,上市,2209541,368.0,371.5,0.95
2404,漢唐,上市,2356289,1075.0,1085.0,0.93
2547,日勝生,上市,7657745,11.0,11.1,0.91
6869,雲豹能源,上市,1719830,109.5,110.5,0.91
8464,億豐,上市,1108481,390.5,394.0,0.9
2425,承啟,上市,525839,28.0,28.25,0.89
2323,中環,上市,15458895,11.2,11.3,0.89
4440,宜新實業,上市,112898,17.55,17.7,0.85
2027,大成鋼,上市,12961408,36.85,37.15,0.81
4952,凌通,上市,1073603,44.65,45.0,0.78
3447,展達,上市,269758,42.05,42.35,0.71
1340,勝悅-KY,上市,113750,7.09,7.14,0.71
3622,洋華,上市,519152,59.8,60.2,0.67
2540,愛山林,上市,1351159,47.8,48.1,0.63
1604,聲寶,上市,1323136,24.4,24.55,0.61
4532,瑞智,上市,1353176,25.7,25.85,0.58
1210,大成,上市,2118069,51.4,51.7,0.58
4956,光鋐,上市,4161450,25.7,25.85,0.58
2069,運錩,上市,421916,18.85,18.95,0.53
3034,聯詠,上市,3298962,386.5,388.5,0.52
6782,視陽,上市,174726,192.5,193.5,0.52
1714,和桐,上市,4817883,9.83,9.88,0.51
6525,捷敏-KY,上市,519473,83.2,83.6,0.48
2010,春源,上市,1678480,22.85,22.95,0.44
2850,新產,上市,452179,118.0,118.5,0.42
2031,新光鋼,上市,1598361,39.0,39.15,0.38
2023,燁輝,上市,1419232,14.7,14.75,0.34
1409,新纖,上市,3091695,15.15,15.2,0.33
1512,瑞利,上市,326453,7.74,7.76,0.26
6136,富爾特,上市,247335,23.95,24.0,0.21
2415,錩新,上市,187770,27.15,27.2,0.18
3413,京鼎,上市,1867294,309.5,310.0,0.16
4989,榮科,上市,36656528,70.6,70.7,0.14
2022,聚亨,上市,1284147,9.14,9.15,0.11
2704,國賓,上市,129554,43.8,43.85,0.11
